# Generated by matlabSample/mainHCW.m
# Osculating Keplerian elements (chief: GEO circular equatorial)
# Columns match mRendering orbit_mechanics.CsvEphemeris.
time_s,a_km,e,inc_rad,raan_rad,ome_rad,f_rad
0,42164,0,0,0,0,0
10,42164,0,0,0,0,0.000729215985905188
20,42164,0,0,0,0,0.00145843197181038
30,42164,0,0,0,0,0.00218764795771556
40,42164,0,0,0,0,0.00291686394362075
50,42164,0,0,0,0,0.00364607992952594
60,42164,0,0,0,0,0.00437529591543113
70,42164,0,0,0,0,0.00510451190133632
80,42164,0,0,0,0,0.00583372788724151
90,42164,0,0,0,0,0.00656294387314669
100,42164,0,0,0,0,0.00729215985905188
110,42164,0,0,0,0,0.00802137584495707
120,42164,0,0,0,0,0.00875059183086226
130,42164,0,0,0,0,0.00947980781676745
140,42164,0,0,0,0,0.0102090238026726
150,42164,0,0,0,0,0.0109382397885778
160,42164,0,0,0,0,0.011667455774483
170,42164,0,0,0,0,0.0123966717603882
180,42164,0,0,0,0,0.0131258877462934
190,42164,0,0,0,0,0.0138551037321986
200,42164,0,0,0,0,0.0145843197181038
210,42164,0,0,0,0,0.015313535704009
220,42164,0,0,0,0,0.0160427516899141
230,42164,0,0,0,0,0.0167719676758193
240,42164,0,0,0,0,0.0175011836617245
250,42164,0,0,0,0,0.0182303996476297
260,42164,0,0,0,0,0.0189596156335349
270,42164,0,0,0,0,0.0196888316194401
280,42164,0,0,0,0,0.0204180476053453
290,42164,0,0,0,0,0.0211472635912505
300,42164,0,0,0,0,0.0218764795771556
310,42164,0,0,0,0,0.0226056955630608
320,42164,0,0,0,0,0.023334911548966
330,42164,0,0,0,0,0.0240641275348712
340,42164,0,0,0,0,0.0247933435207764
350,42164,0,0,0,0,0.0255225595066816
360,42164,0,0,0,0,0.0262517754925868
370,42164,0,0,0,0,0.026980991478492
380,42164,0,0,0,0,0.0277102074643972
390,42164,0,0,0,0,0.0284394234503023
400,42164,0,0,0,0,0.0291686394362075
410,42164,0,0,0,0,0.0298978554221127
420,42164,0,0,0,0,0.0306270714080179
430,42164,0,0,0,0,0.0313562873939231
440,42164,0,0,0,0,0.0320855033798283
450,42164,0,0,0,0,0.0328147193657335
460,42164,0,0,0,0,0.0335439353516387
470,42164,0,0,0,0,0.0342731513375438
480,42164,0,0,0,0,0.035002367323449
490,42164,0,0,0,0,0.0357315833093542
500,42164,0,0,0,0,0.0364607992952594
510,42164,0,0,0,0,0.0371900152811646
520,42164,0,0,0,0,0.0379192312670698
530,42164,0,0,0,0,0.038648447252975
540,42164,0,0,0,0,0.0393776632388802
550,42164,0,0,0,0,0.0401068792247854
560,42164,0,0,0,0,0.0408360952106905
570,42164,0,0,0,0,0.0415653111965957
580,42164,0,0,0,0,0.0422945271825009
590,42164,0,0,0,0,0.0430237431684061
600,42164,0,0,0,0,0.0437529591543113
610,42164,0,0,0,0,0.0444821751402165
620,42164,0,0,0,0,0.0452113911261217
630,42164,0,0,0,0,0.0459406071120269
640,42164,0,0,0,0,0.0466698230979321
650,42164,0,0,0,0,0.0473990390838372
660,42164,0,0,0,0,0.0481282550697424
670,42164,0,0,0,0,0.0488574710556476
680,42164,0,0,0,0,0.0495866870415528
690,42164,0,0,0,0,0.050315903027458
700,42164,0,0,0,0,0.0510451190133632
710,42164,0,0,0,0,0.0517743349992684
720,42164,0,0,0,0,0.0525035509851736
730,42164,0,0,0,0,0.0532327669710787
740,42164,0,0,0,0,0.0539619829569839
750,42164,0,0,0,0,0.0546911989428891
760,42164,0,0,0,0,0.0554204149287943
770,42164,0,0,0,0,0.0561496309146995
780,42164,0,0,0,0,0.0568788469006047
790,42164,0,0,0,0,0.0576080628865099
800,42164,0,0,0,0,0.0583372788724151
810,42164,0,0,0,0,0.0590664948583203
820,42164,0,0,0,0,0.0597957108442254
830,42164,0,0,0,0,0.0605249268301306
840,42164,0,0,0,0,0.0612541428160358
850,42164,0,0,0,0,0.061983358801941
860,42164,0,0,0,0,0.0627125747878462
870,42164,0,0,0,0,0.0634417907737514
880,42164,0,0,0,0,0.0641710067596566
890,42164,0,0,0,0,0.0649002227455618
900,42164,0,0,0,0,0.0656294387314669
910,42164,0,0,0,0,0.0663586547173721
920,42164,0,0,0,0,0.0670878707032773
930,42164,0,0,0,0,0.0678170866891825
940,42164,0,0,0,0,0.0685463026750877
950,42164,0,0,0,0,0.0692755186609929
960,42164,0,0,0,0,0.0700047346468981
970,42164,0,0,0,0,0.0707339506328033
980,42164,0,0,0,0,0.0714631666187085
990,42164,0,0,0,0,0.0721923826046136
1000,42164,0,0,0,0,0.0729215985905188
1010,42164,0,0,0,0,0.073650814576424
1020,42164,0,0,0,0,0.0743800305623292
1030,42164,0,0,0,0,0.0751092465482344
1040,42164,0,0,0,0,0.0758384625341396
1050,42164,0,0,0,0,0.0765676785200448
1060,42164,0,0,0,0,0.07729689450595
1070,42164,0,0,0,0,0.0780261104918551
1080,42164,0,0,0,0,0.0787553264777603
1090,42164,0,0,0,0,0.0794845424636655
1100,42164,0,0,0,0,0.0802137584495707
1110,42164,0,0,0,0,0.0809429744354759
1120,42164,0,0,0,0,0.0816721904213811
1130,42164,0,0,0,0,0.0824014064072863
1140,42164,0,0,0,0,0.0831306223931915
1150,42164,0,0,0,0,0.0838598383790966
1160,42164,0,0,0,0,0.0845890543650018
1170,42164,0,0,0,0,0.085318270350907
1180,42164,0,0,0,0,0.0860474863368122
1190,42164,0,0,0,0,0.0867767023227174
1200,42164,0,0,0,0,0.0875059183086226
1210,42164,0,0,0,0,0.0882351342945278
1220,42164,0,0,0,0,0.088964350280433
1230,42164,0,0,0,0,0.0896935662663382
1240,42164,0,0,0,0,0.0904227822522433
1250,42164,0,0,0,0,0.0911519982381485
1260,42164,0,0,0,0,0.0918812142240537
1270,42164,0,0,0,0,0.0926104302099589
1280,42164,0,0,0,0,0.0933396461958641
1290,42164,0,0,0,0,0.0940688621817693
1300,42164,0,0,0,0,0.0947980781676745
1310,42164,0,0,0,0,0.0955272941535797
1320,42164,0,0,0,0,0.0962565101394849
1330,42164,0,0,0,0,0.09698572612539
1340,42164,0,0,0,0,0.0977149421112952
1350,42164,0,0,0,0,0.0984441580972004
1360,42164,0,0,0,0,0.0991733740831056
1370,42164,0,0,0,0,0.0999025900690108
1380,42164,0,0,0,0,0.100631806054916
1390,42164,0,0,0,0,0.101361022040821
1400,42164,0,0,0,0,0.102090238026726
1410,42164,0,0,0,0,0.102819454012632
1420,42164,0,0,0,0,0.103548669998537
1430,42164,0,0,0,0,0.104277885984442
1440,42164,0,0,0,0,0.105007101970347
1450,42164,0,0,0,0,0.105736317956252
1460,42164,0,0,0,0,0.106465533942157
1470,42164,0,0,0,0,0.107194749928063
1480,42164,0,0,0,0,0.107923965913968
1490,42164,0,0,0,0,0.108653181899873
1500,42164,0,0,0,0,0.109382397885778
1510,42164,0,0,0,0,0.110111613871683
1520,42164,0,0,0,0,0.110840829857589
1530,42164,0,0,0,0,0.111570045843494
1540,42164,0,0,0,0,0.112299261829399
1550,42164,0,0,0,0,0.113028477815304
1560,42164,0,0,0,0,0.113757693801209
1570,42164,0,0,0,0,0.114486909787115
1580,42164,0,0,0,0,0.11521612577302
1590,42164,0,0,0,0,0.115945341758925
1600,42164,0,0,0,0,0.11667455774483
1610,42164,0,0,0,0,0.117403773730735
1620,42164,0,0,0,0,0.118132989716641
1630,42164,0,0,0,0,0.118862205702546
1640,42164,0,0,0,0,0.119591421688451
1650,42164,0,0,0,0,0.120320637674356
1660,42164,0,0,0,0,0.121049853660261
1670,42164,0,0,0,0,0.121779069646166
1680,42164,0,0,0,0,0.122508285632072
1690,42164,0,0,0,0,0.123237501617977
1700,42164,0,0,0,0,0.123966717603882
1710,42164,0,0,0,0,0.124695933589787
1720,42164,0,0,0,0,0.125425149575692
1730,42164,0,0,0,0,0.126154365561598
1740,42164,0,0,0,0,0.126883581547503
1750,42164,0,0,0,0,0.127612797533408
1760,42164,0,0,0,0,0.128342013519313
1770,42164,0,0,0,0,0.129071229505218
1780,42164,0,0,0,0,0.129800445491124
1790,42164,0,0,0,0,0.130529661477029
1800,42164,0,0,0,0,0.131258877462934
1810,42164,0,0,0,0,0.131988093448839
1820,42164,0,0,0,0,0.132717309434744
1830,42164,0,0,0,0,0.133446525420649
1840,42164,0,0,0,0,0.134175741406555
1850,42164,0,0,0,0,0.13490495739246
1860,42164,0,0,0,0,0.135634173378365
1870,42164,0,0,0,0,0.13636338936427
1880,42164,0,0,0,0,0.137092605350175
1890,42164,0,0,0,0,0.137821821336081
1900,42164,0,0,0,0,0.138551037321986
1910,42164,0,0,0,0,0.139280253307891
1920,42164,0,0,0,0,0.140009469293796
1930,42164,0,0,0,0,0.140738685279701
1940,42164,0,0,0,0,0.141467901265607
1950,42164,0,0,0,0,0.142197117251512
1960,42164,0,0,0,0,0.142926333237417
1970,42164,0,0,0,0,0.143655549223322
1980,42164,0,0,0,0,0.144384765209227
1990,42164,0,0,0,0,0.145113981195132
2000,42164,0,0,0,0,0.145843197181038
2010,42164,0,0,0,0,0.146572413166943
2020,42164,0,0,0,0,0.147301629152848
2030,42164,0,0,0,0,0.148030845138753
2040,42164,0,0,0,0,0.148760061124658
2050,42164,0,0,0,0,0.149489277110564
2060,42164,0,0,0,0,0.150218493096469
2070,42164,0,0,0,0,0.150947709082374
2080,42164,0,0,0,0,0.151676925068279
2090,42164,0,0,0,0,0.152406141054184
2100,42164,0,0,0,0,0.15313535704009
2110,42164,0,0,0,0,0.153864573025995
2120,42164,0,0,0,0,0.1545937890119
2130,42164,0,0,0,0,0.155323004997805
2140,42164,0,0,0,0,0.15605222098371
2150,42164,0,0,0,0,0.156781436969615
2160,42164,0,0,0,0,0.157510652955521
2170,42164,0,0,0,0,0.158239868941426
2180,42164,0,0,0,0,0.158969084927331
2190,42164,0,0,0,0,0.159698300913236
2200,42164,0,0,0,0,0.160427516899141
2210,42164,0,0,0,0,0.161156732885047
2220,42164,0,0,0,0,0.161885948870952
2230,42164,0,0,0,0,0.162615164856857
2240,42164,0,0,0,0,0.163344380842762
2250,42164,0,0,0,0,0.164073596828667
2260,42164,0,0,0,0,0.164802812814573
2270,42164,0,0,0,0,0.165532028800478
