time_s,a_km,e,inc_rad,raan_rad,ome_rad,f_rad,q1,q2,q3,q4
0,6787.74021640491,0.00059341411770597,1.69349768246445,6.28035428885208,6.28197757392514,0,0,0,0,1
1,6787.74021523864,0.000593415235644688,1.69349766874849,6.280354288861,6.28470400566901,-0.00159612432221657,0.0429936254975815,0.0274074136096237,0.0433320020760698,0.997758848340562
2,6787.74016484701,0.000593411685160817,1.69349765547152,6.28035428885452,6.28743047536867,-0.00319228660184695,0.0844439994996008,0.0570925479016013,0.0860019427191181,0.991066757474567
3,6787.7400652357,0.000593403467213233,1.69349764263357,6.28035428883363,6.29015701617386,-0.00478851999016965,0.123978763815117,0.0887686940928816,0.127926848195157,0.979991891080112
4,6787.73991641151,0.000593390582970464,1.69349763023439,6.28035428879934,6.29288366110961,-0.00638485751377147,0.161259868556675,0.122124951094238,0.169031766750681,0.964628950914525
5,6787.73971837918,0.000593373033338143,1.69349761827401,6.28035428875264,6.29561044286796,-0.00798133186623893,0.195986301209232,0.156830840580348,0.209248980042463,0.945096990542439
6,6787.73947114335,0.000593350819250555,1.69349760675199,6.28035428869453,6.2983373942014,-0.00957797580163172,0.227896051058045,0.192540928314296,0.248517124187453,0.921537096280782
7,6787.73917470592,0.000593323941283735,1.69349759566786,6.280354288626,6.30106454795704,-0.0111748221686042,0.256767349434532,0.228899359244632,0.286780251894934,0.894110003704712
8,6787.73882906644,0.000593292399705027,1.69349758502176,6.28035428854807,6.30379193684239,-0.0127719036762147,0.282419242546622,0.265544229621829,0.32398686534597,0.862993710659141
9,6787.73843422524,0.000593256194944049,1.6934975748138,6.28035428846171,6.30651959358197,-0.0143692530505329,0.30471156512147,0.302111735858838,0.360088946910074,0.828381138999904
10,6787.7379901833,0.000593215327567195,1.69349756504408,6.28035428836794,6.30924755092997,-0.0159669030473143,0.323544389961362,0.338240056318983,0.39504101172327,0.790477887788467
11,6787.73749694209,0.000593169798252196,1.69349755571267,6.28035428826774,6.31197584169503,-0.0175648864767463,0.338857031221468,0.373572937698566,0.428799202837038,0.749500110912171
12,6787.73695450339,0.000593119607773203,1.69349754681967,6.28035428816213,6.31470449877375,-0.0191632362369769,0.350626678195898,0.407762971775057,0.461320446340605,0.705672542454777
13,6787.73636286936,0.000593064756999629,1.69349753836513,6.2803542880521,6.31743355518208,-0.0207619853455156,0.35886673240896,0.440474560306447,0.49256168057285,0.659226684020154
14,6787.73572204258,0.000593005246907413,1.69349753034916,6.28035428793864,6.32016304407613,-0.0223611669600204,0.363624914541295,0.471386575462471,0.52247917047062,0.610399159913358
15,6787.73503202824,0.000592941078908771,1.69349752277141,6.28035428782276,6.32289299882337,-0.0239608144495176,0.364981199775328,0.500194730526867,0.551027915182963,0.559430238772302
16,6787.73429283376,0.000592872254781652,1.69349751563124,6.28035428770544,6.32562345258875,-0.0255609609805028,0.363045631322895,0.526613680358484,0.578161154380746,0.506562514209033
17,6787.73350446433,0.000592798776012651,1.6934975089286,6.28035428758767,6.32835443817067,-0.0271616393529374,0.357956052765389,0.550378873652378,0.603829976166706,0.452039732333648
18,6787.73266692479,0.000592720644082097,1.69349750266337,6.28035428747046,6.33108598829129,-0.0287628822905237,0.34987579095809,0.571248179599274,0.627983027158279,0.396105750787704
19,6787.7317802196,0.000592637860452789,1.69349749683539,6.28035428735478,6.33381813567564,-0.030364722519847,0.338991313155071,0.589003310471104,0.65056632315866,0.339003612121321
