# Generated by matlabSample/mainHCW.m
# HCW relative motion (radial, along-track, cross-track) [km], identity attitude
time_s,x,y,z,qx,qy,qz,qw
0,5,10,10,0,0,0,1
10,4.99999867061017,9.99270784078722,9.99999734122035,0,0,0,1
20,4.9999946824414,9.98541568545209,9.9999893648828,0,0,0,1
30,4.9999880354958,9.97812353787226,9.99997607099161,0,0,0,1
40,4.99997872977692,9.97083140192536,9.99995745955383,0,0,0,1
50,4.99996676528969,9.96353928148905,9.99993353057937,0,0,0,1
60,4.99995214204048,9.95624718044093,9.99990428408095,0,0,0,1
70,4.99993486003706,9.94895510265828,9.99986972007413,0,0,0,1
80,4.99991491928864,9.94166305201848,9.99982983857728,0,0,0,1
90,4.99989231980581,9.93437103239934,9.99978463961162,0,0,0,1
100,4.99986706160058,9.92707904767861,9.99973412320116,0,0,0,1
110,4.9998391446864,9.91978710173398,9.99967828937279,0,0,0,1
120,4.9998085690781,9.9124951984431,9.99961713815619,0,0,0,1
130,4.99977533479194,9.90520334168359,9.99955066958387,0,0,0,1
140,4.99973944184559,9.89791153533299,9.99947888369118,0,0,0,1
150,4.99970089025814,9.89061978326882,9.99940178051629,0,0,0,1
160,4.9996596800501,9.88332808936853,9.99931936010019,0,0,0,1
170,4.99961581124336,9.87603645750952,9.99923162248672,0,0,0,1
180,4.99956928386127,9.86874489156917,9.99913856772253,0,0,0,1
190,4.99952009792855,9.86145339542479,9.99904019585711,0,0,0,1
200,4.99946825347138,9.85416197295363,9.99893650694275,0,0,0,1
210,4.9994137505173,9.84687062803292,9.99882750103461,0,0,0,1
220,4.99935658909532,9.83957936453982,9.99871317819063,0,0,0,1
230,4.99929676923581,9.83228818635145,9.99859353847162,0,0,0,1
240,4.9992342909706,9.82499709734489,9.9984685819412,0,0,0,1
250,4.9991691543329,9.81770610139714,9.99833830866581,0,0,0,1
260,4.99910135935736,9.8104152023852,9.99820271871473,0,0,0,1
270,4.99903090608002,9.80312440418598,9.99806181216005,0,0,0,1
280,4.99895779453836,9.79583371067635,9.99791558907671,0,0,0,1
290,4.99888202477124,9.78854312573316,9.99776404954247,0,0,0,1
300,4.99880359681896,9.78125265323317,9.99760719363791,0,0,0,1
310,4.99872251072323,9.77396229705312,9.99744502144645,0,0,0,1
320,4.99863876652715,9.76667206106754,9.99727753305431,0,0,0,1
330,4.99855236427527,9.75938194915142,9.99710472855054,0,0,0,1
340,4.99846330401352,9.75209196518208,9.99692660802705,0,0,0,1
350,4.99837158578927,9.74480211303672,9.99674317157855,0,0,0,1
360,4.9982772096513,9.73751239659239,9.99655441930259,0,0,0,1
370,4.99818017564978,9.73022281972603,9.99636035129955,0,0,0,1
380,4.99808048383631,9.72293338631444,9.99616096767262,0,0,0,1
390,4.99797813426392,9.71564410023428,9.99595626852784,0,0,0,1
400,4.99787312698702,9.7083549653621,9.99574625397404,0,0,0,1
410,4.99776546206146,9.7010659855743,9.99553092412291,0,0,0,1
420,4.99765513954448,9.69377716474718,9.99531027908895,0,0,0,1
430,4.99754215949474,9.68648850675689,9.99508431898949,0,0,0,1
440,4.99742652197234,9.67920001547944,9.99485304394467,0,0,0,1
450,4.99730822703874,9.67191169479073,9.99461645407749,0,0,0,1
460,4.99718727475687,9.66462354856653,9.99437454951373,0,0,0,1
470,4.99706366519102,9.65733558068247,9.99412733038205,0,0,0,1
480,4.99693739840694,9.65004779501405,9.99387479681388,0,0,0,1
490,4.99680847447176,9.64276019543664,9.99361694894352,0,0,0,1
500,4.99667689345404,9.6354727858255,9.99335378690807,0,0,0,1
510,4.99654265542374,9.62818557005574,9.99308531084747,0,0,0,1
520,4.99640576045224,9.62089855200235,9.99281152090447,0,0,0,1
530,4.99626620861233,9.61361173554017,9.99253241722467,0,0,0,1
540,4.99612399997823,9.60632512454395,9.99224799995646,0,0,0,1
550,4.99597913462555,9.59903872288827,9.99195826925109,0,0,0,1
560,4.99583161263131,9.5917525344476,9.99166322526263,0,0,0,1
570,4.99568143407398,9.58446656309628,9.99136286814795,0,0,0,1
580,4.99552859903339,9.57718081270852,9.99105719806678,0,0,0,1
590,4.99537310759082,9.5698952871584,9.99074621518165,0,0,0,1
600,4.99521495982896,9.56260999031987,9.99042991965793,0,0,0,1
610,4.9950541558319,9.55532492606675,9.99010831166381,0,0,0,1
620,4.99489069568515,9.54804009827271,9.9897813913703,0,0,0,1
630,4.99472457947563,9.54075551081134,9.98944915895126,0,0,0,1
640,4.99455580729167,9.53347116755605,9.98911161458334,0,0,0,1
650,4.99438437922303,9.52618707238016,9.98876875844605,0,0,0,1
660,4.99421029536085,9.51890322915682,9.9884205907217,0,0,0,1
670,4.99403355579772,9.51161964175908,9.98806711159544,0,0,0,1
680,4.99385416062762,9.50433631405985,9.98770832125524,0,0,0,1
690,4.99367210994594,9.49705324993192,9.98734421989189,0,0,0,1
