frame,t_s,panel,host,area_m2,nu,cos_sun,sun_visible,e_direct_wm2,e_earth_wm2,e_other_wm2,e_total_wm2,p_w,e_earth_r_wm2,e_earth_g_wm2,e_earth_b_wm2
0,0.000000,wing_plus_x,deputy,17.750000,1.000000,1.000000,1.000000,1361.0000,15.9876,5.0627,1382.0503,7359.4180,15.9122,16.0114,16.0061
0,0.000000,wing_minus_x,deputy,17.750000,1.000000,1.000000,1.000000,1361.0000,5.9034,0.5152,1367.4186,7281.5043,5.8973,5.9048,5.9108
0,0.000000,aft_cell,deputy,1.000000,1.000000,-1.000000,0.000000,0.0000,57.9563,0.0000,57.9563,17.3869,57.9563,57.9563,57.9563
1,63.333333,wing_plus_x,deputy,17.750000,1.000000,1.000000,1.000000,1361.0000,15.0228,8.1468,1384.1697,7370.7034,14.9519,15.0447,15.0447
1,63.333333,wing_minus_x,deputy,17.750000,1.000000,1.000000,1.000000,1361.0000,5.7475,0.5448,1367.2923,7280.8315,5.7418,5.7489,5.7532
1,63.333333,aft_cell,deputy,1.000000,1.000000,-1.000000,0.000000,0.0000,52.1505,0.0000,52.1505,15.6452,52.1505,52.1505,52.1505
2,126.666667,wing_plus_x,deputy,17.750000,1.000000,1.000000,1.000000,1361.0000,15.8365,5.1482,1381.9848,7359.0689,15.7666,15.8579,15.8604
2,126.666667,wing_minus_x,deputy,17.750000,1.000000,1.000000,1.000000,1361.0000,6.5149,0.4610,1367.9758,7284.4713,6.5094,6.5160,6.5232
2,126.666667,aft_cell,deputy,1.000000,1.000000,-1.000000,0.000000,0.0000,43.9942,0.0000,43.9942,13.1982,43.9942,43.9942,43.9942
3,190.000000,wing_plus_x,deputy,17.750000,1.000000,1.000000,1.000000,1361.0002,17.1955,6.5972,1384.7929,7374.0220,17.1396,17.2190,17.1477
3,190.000000,wing_minus_x,deputy,17.750000,1.000000,1.000000,1.000000,1361.0002,6.6668,1.9997,1369.6667,7293.4750,6.6636,6.6676,6.6689
3,190.000000,aft_cell,deputy,1.000000,1.000000,-1.000000,0.000000,0.0000,32.5906,0.0000,32.5906,9.7772,32.5906,32.5906,32.5906
4,253.333333,wing_plus_x,deputy,17.750000,1.000000,1.000000,1.000000,1361.0000,19.5203,2.7513,1383.2716,7365.9213,19.4569,19.5385,19.5547
4,253.333333,wing_minus_x,deputy,17.750000,1.000000,1.000000,1.000000,1361.0000,8.1787,3.1099,1372.2885,7307.4365,8.1781,8.1793,8.1736
4,253.333333,aft_cell,deputy,1.000000,1.000000,-1.000000,0.000000,0.0000,19.7724,0.0000,19.7724,5.9317,19.7724,19.7724,19.7724
5,316.666667,wing_plus_x,deputy,17.750000,1.000000,1.000000,1.000000,1361.0000,19.5202,0.6324,1381.1526,7354.6377,19.4765,19.5365,19.5034
5,316.666667,wing_minus_x,deputy,17.750000,1.000000,1.000000,1.000000,1361.0000,8.5633,8.8338,1378.3971,7339.9646,8.5605,8.5639,8.5669
5,316.666667,aft_cell,deputy,1.000000,1.000000,-1.000000,0.000000,0.0000,11.4844,0.0000,11.4844,3.4453,11.4844,11.4844,11.4844
6,380.000000,wing_plus_x,deputy,17.750000,1.000000,1.000000,1.000000,1361.0002,17.2122,0.5528,1378.7652,7341.9245,17.1768,17.2231,17.2235
6,380.000000,wing_minus_x,deputy,17.750000,1.000000,1.000000,1.000000,1361.0002,7.4971,8.2787,1376.7760,7331.3320,7.4957,7.4976,7.4976
6,380.000000,aft_cell,deputy,1.000000,1.000000,-1.000000,0.000000,0.0000,4.9912,0.0000,4.9912,1.4974,4.9912,4.9912,4.9912
7,443.333333,wing_plus_x,deputy,17.750000,1.000000,1.000000,1.000000,1360.9999,13.9188,0.5282,1375.4470,7324.2551,13.8967,13.9258,13.9243
7,443.333333,wing_minus_x,deputy,17.750000,1.000000,1.000000,1.000000,1360.9999,6.5844,7.2456,1374.8299,7320.9695,6.5835,6.5847,6.5853
7,443.333333,aft_cell,deputy,1.000000,1.000000,-1.000000,0.000000,0.0000,1.5618,0.0000,1.5618,0.4686,1.5618,1.5618,1.5618
8,506.666667,wing_plus_x,deputy,17.750000,1.000000,1.000000,1.000000,1361.0002,9.4164,0.4542,1370.8708,7299.8870,9.3998,9.4201,9.4369
8,506.666667,wing_minus_x,deputy,17.750000,1.000000,1.000000,1.000000,1361.0002,5.0290,8.0053,1374.0345,7316.7336,5.0273,5.0291,5.0340
8,506.666667,aft_cell,deputy,1.000000,1.000000,-1.000000,0.000000,0.0000,0.0465,0.0000,0.0465,0.0140,0.0465,0.0465,0.0465
9,570.000000,wing_plus_x,deputy,17.750000,1.000000,1.000000,1.000000,1361.0000,5.0667,0.5194,1366.5861,7277.0707,5.0603,5.0679,5.0769
9,570.000000,wing_minus_x,deputy,17.750000,1.000000,1.000000,1.000000,1361.0000,3.2031,10.0360,1374.2390,7317.8228,3.2024,3.2030,3.2055
9,570.000000,aft_cell,deputy,1.000000,1.000000,-1.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,633.333333,wing_plus_x,deputy,17.750000,1.000000,1.000000,1.000000,1361.0000,2.2566,0.5266,1363.7832,7262.1458,2.2543,2.2570,2.2614
10,633.333333,wing_minus_x,deputy,17.750000,1.000000,1.000000,1.000000,1361.0000,1.3873,7.0348,1369.4220,7292.1723,1.3871,1.3872,1.3881
10,633.333333,aft_cell,deputy,1.000000,1.000000,-1.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,696.666667,wing_plus_x,deputy,17.750000,1.000000,1.000000,1.000000,1360.9999,0.7977,0.5352,1362.3328,7254.4222,0.7968,0.7979,0.7991
11,696.666667,wing_minus_x,deputy,17.750000,1.000000,1.000000,1.000000,1360.9999,0.6868,9.5961,1371.2829,7302.0812,0.6867,0.6868,0.6872
11,696.666667,aft_cell,deputy,1.000000,1.000000,-1.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,760.000000,wing_plus_x,deputy,17.750000,1.000000,1.000000,1.000000,1361.0002,0.2426,0.5335,1361.7763,7251.4588,0.2424,0.2427,0.2426
12,760.000000,wing_minus_x,deputy,17.750000,1.000000,1.000000,1.000000,1361.0002,0.2037,8.2847,1369.4885,7292.5262,0.2037,0.2037,0.2037
12,760.000000,aft_cell,deputy,1.000000,1.000000,-1.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,823.333333,wing_plus_x,deputy,17.750000,1.000000,1.000000,1.000000,1361.0002,0.0450,0.4633,1361.5084,7250.0324,0.0450,0.0450,0.0450
13,823.333333,wing_minus_x,deputy,17.750000,1.000000,1.000000,1.000000,1361.0002,0.0387,9.1121,1370.1510,7296.0541,0.0387,0.0387,0.0387
13,823.333333,aft_cell,deputy,1.000000,1.000000,-1.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,886.666667,wing_plus_x,deputy,17.750000,1.000000,1.000000,1.000000,1361.0000,0.0008,0.5112,1361.5120,7250.0516,0.0008,0.0008,0.0008
14,886.666667,wing_minus_x,deputy,17.750000,1.000000,1.000000,1.000000,1361.0000,0.0006,8.3218,1369.3224,7291.6417,0.0006,0.0006,0.0006
14,886.666667,aft_cell,deputy,1.000000,1.000000,-1.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,950.000000,wing_plus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,950.000000,wing_minus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,950.000000,aft_cell,deputy,1.000000,0.000000,-1.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,1013.333333,wing_plus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,1013.333333,wing_minus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,1013.333333,aft_cell,deputy,1.000000,0.000000,-1.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,1076.666667,wing_plus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,1076.666667,wing_minus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,1076.666667,aft_cell,deputy,1.000000,0.000000,-1.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,1140.000000,wing_plus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,1140.000000,wing_minus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,1140.000000,aft_cell,deputy,1.000000,0.000000,-1.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,1203.333333,wing_plus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,1203.333333,wing_minus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,1203.333333,aft_cell,deputy,1.000000,0.000000,-1.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,1266.666667,wing_plus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,1266.666667,wing_minus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,1266.666667,aft_cell,deputy,1.000000,0.000000,-1.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
